2021-01-30.09:44:01	26.6	100
2021-01-30.09:44:01	27.95	100
2021-01-30.09:44:01	29.91	100
2021-01-30.09:44:01	37.79	100
2021-01-30.09:44:01	31.59	100
2021-01-30.09:44:01	28.43	100
2021-01-30.09:44:01	20.79	100
2021-01-30.09:44:02	28.25	100
2021-01-30.09:44:02	35.38	100
2021-01-30.09:44:02	28.45	100
2021-01-30.09:44:02	21.48	100
2021-01-30.09:44:02	30.5	100
2021-01-30.09:44:02	38.82	100
2021-01-30.09:44:02	32.86	100
2021-01-30.09:44:02	34.01	100
2021-01-30.09:44:02	25.86	100
2021-01-30.09:44:02	28.11	100
2021-01-30.09:44:03	37.85	100
2021-01-30.09:44:03	43.46	100
2021-01-30.09:44:03	48.72	100
2021-01-30.09:44:03	37.08	100
2021-01-30.09:44:03	27.4	100
2021-01-30.09:44:03	19.41	100
2021-01-30.09:44:03	18.73	100
2021-01-30.09:44:03	22.4	100
2021-01-30.09:44:03	27.56	100
2021-01-30.09:44:03	33.77	100
2021-01-30.09:44:04	29.53	100
2021-01-30.09:44:04	21.5	100
2021-01-30.09:44:04	30.38	100
2021-01-30.09:44:04	35.84	100
2021-01-30.09:44:04	26.73	100
2021-01-30.09:44:04	24.77	100
2021-01-30.09:44:04	23.66	100
2021-01-30.09:44:04	35.06	100
2021-01-30.09:44:04	28.88	100
2021-01-30.09:44:04	26	100
2021-01-30.09:44:05	30.74	100
2021-01-30.09:44:05	32.7	100
2021-01-30.09:44:05	25.68	100
2021-01-30.09:44:05	34.21	100
2021-01-30.09:44:05	36.69	100
2021-01-30.09:44:05	37.09	100
2021-01-30.09:44:05	34.21	100
2021-01-30.09:44:05	42.38	100
2021-01-30.09:44:05	45.23	100
2021-01-30.09:44:05	41.97	100
2021-01-30.09:44:06	32.37	100
2021-01-30.09:44:06	37.79	100
2021-01-30.09:44:06	28.27	100
2021-01-30.09:44:06	34.23	100
2021-01-30.09:44:06	42.07	100
2021-01-30.09:44:06	32.7	100
2021-01-30.09:44:06	30.72	100
2021-01-30.09:44:06	26.15	100
2021-01-30.09:44:06	30.86	100
2021-01-30.09:44:06	22.7	100
2021-01-30.09:44:07	28.17	100
2021-01-30.09:44:07	31.31	100
2021-01-30.09:44:07	23.84	100
2021-01-30.09:44:07	18.85	100
2021-01-30.11:44:07	13.9	100
2021-01-30.11:44:07	13.3	100
2021-01-30.11:44:07	10.67	100
2021-01-30.11:44:07	14.5	100
2021-01-30.11:44:07	25.37	100
2021-01-30.11:44:07	23.46	100
2021-01-30.11:44:08	22.39	100
2021-01-30.11:44:08	24.84	100
2021-01-30.11:44:08	27.41	100
2021-01-30.11:44:08	21.09	100
2021-01-30.11:44:08	33.31	100
2021-01-30.11:44:08	27.49	100
2021-01-30.11:44:08	25.71	100
2021-01-30.11:44:08	26.19	100
2021-01-30.11:44:08	34.09	100
2021-01-30.11:44:08	27.28	100
2021-01-30.11:44:09	30.75	100
2021-01-30.11:44:09	33.42	100
2021-01-30.11:44:09	41.94	100
2021-01-30.11:44:09	42.83	100
2021-01-30.11:44:09	37.72	100
2021-01-30.11:44:09	37.61	100
2021-01-30.11:44:09	43.05	100
2021-01-30.11:44:09	38.85	100
2021-01-30.11:44:09	36.2	100
2021-01-30.11:44:09	29.16	100
2021-01-30.11:44:10	30.22	100
2021-01-30.11:44:10	35.59	100
2021-01-30.11:44:10	33.48	100
2021-01-30.11:44:10	35.16	100
2021-01-30.11:44:10	41.21	100
2021-01-30.11:44:10	38.12	100
2021-01-30.01:01:11	11.7	100
2021-01-30.01:01:11	14.56	100
2021-01-30.01:01:11	15.52	100
2021-01-30.01:01:11	12	100
2021-01-30.01:01:11	15.07	100
2021-01-30.01:01:11	16.09	100
2021-01-30.01:01:11	14.33	100
2021-01-30.01:01:11	20.58	100
2021-01-30.01:01:11	29.87	100
2021-01-30.01:01:11	36.29	100
2021-01-30.01:01:12	43.99	100
2021-01-30.01:01:12	40.61	100
2021-01-30.01:01:12	30.37	100
2021-01-30.01:01:12	29.28	100
2021-01-30.01:01:12	30.7	100
2021-01-30.01:01:12	27.74	100
2021-01-30.01:01:12	33.63	100
2021-01-30.01:01:12	26.82	100
2021-01-30.01:01:12	27.62	100
2021-01-30.01:01:12	26.26	100
